BHID,FROM,TO,AU
E-046,70.7136,71.3232,0.026
E-133,22.86,23.59152,0.026
E-133,35.29584,35.60064,0.686
E-133,36.21024,36.33216,0.026
E-133,39.86784,40.0812,0.026
E-133,40.8432,41.02608,4.114
E-133,54.102,54.37632,0.686
E-133,55.50408,55.626,0.026
E-133,56.72328,56.8452,0.026
E-133,58.55208,59.16168,1.371
E-133,59.16168,59.61888,0.686
E-133,59.61888,59.92368,27.429
E-133,59.92368,60.10656,0.686
E-133,72.39,72.6948,0.026
E-133,75.2856,75.37704,0.026
E-133,79.248,79.7052,0.026
E-364,31.8516,32.004,50.7428
E-364,101.9556,102.87,0.0025
E-364,103.51008,104.5464,0.0025
E-364,104.5464,105.49128,0.0025
E-364,106.2228,106.55808,0.0025
E-364,107.8992,108.8136,0.0025
E-364,109.728,110.3376,0.0025
E-364,110.6424,110.9472,0.0025
E-364,111.22152,111.64824,0.0025
E-364,112.10544,112.41024,0.0025
E-364,112.71504,113.8428,0.6857
E-364,114.3,115.062,1.7143
E-364,153.0096,153.6192,0.0025
E-364,170.688,171.2976,0.0025
E-364,189.82944,190.13424,0.0025
P-338,0,1.524,0.0025
P-338,1.524,3.048,0.0025
P-338,3.048,3.84048,0.0025
P-338,3.84048,4.14528,0.0025
P-338,4.14528,4.572,0.6857
P-338,4.572,5.36448,1.3714
P-338,5.36448,6.096,1.3714
P-338,6.096,6.7056,1.3714
P-338,6.7056,7.0104,3.4286
P-338,7.0104,7.3152,32.5714
P-338,7.3152,7.62,1.3714
P-338,7.62,7.9248,0.0025
P-338,7.9248,9.144,0.0025
P-338,9.144,10.668,0.0025
P-338,10.668,12.192,0.0025
