x,y,z,wt
78.735596,100.0,54.665848,0.14828397
78.48366,100.0,55.63359,0.16254698
78.992195,100.0,53.699333,0.13431568
78.236534,100.0,56.602573,0.20085925
79.2537,100.0,52.734135,0.12797177
114.19086,100.0,64.91873,0.037137065
114.37049,100.0,63.934998,0.04036996
114.01477,100.0,65.90311,0.03939945
114.55358,100.0,62.951904,0.054832608
113.84248,100.0,66.88815,0.053362947
48.45269,100.0,46.80709,-0.008740258
48.15261,100.0,47.761,-0.00745768
48.756374,100.0,45.854317,-0.011167237
47.85628,100.0,48.716087,-0.006919615
49.0636,100.0,44.90268,-0.018153504
84.56912,50.0,56.950245,0.008254685
84.73342,50.0,55.963833,0.008571139
84.40696,50.0,57.937008,0.009766051
84.89981,50.0,54.977776,0.011515674
84.24697,50.0,58.924126,0.015251069
